movieCd,link,imgurl,rate,감독,연도,제목,비고
20196309,https://movie.naver.com/movie/bi/mi/basic.nhn?code=173123,https://ssl.pstatic.net/imgmovie/mdi/mit110/1731/173123_P06_135928.jpg,8.36,"['존 왓츠', '존 왓츠|']","['2019', '2019']","['스파이더맨: 파 프롬 홈', '스파이더맨: 파 프롬 홈']",동명영화 없음
20183867,https://movie.naver.com/movie/bi/mi/basic.nhn?code=163788,https://ssl.pstatic.net/imgmovie/mdi/mit110/1637/163788_P18_105943.jpg,9.43,"['가이 리치', '가이 리치']","['2019', '2019']","['알라딘', '알라딘']",fit
20184047,https://movie.naver.com/movie/bi/mi/basic.nhn?code=101966,https://ssl.pstatic.net/imgmovie/mdi/mit110/1019/101966_P09_114632.jpg,9.08,"['조시 쿨리', '조시 쿨리']","['2019', '2019']","['토이 스토리 4', '토이 스토리 4']",fit
20185353,https://movie.naver.com/movie/bi/mi/basic.nhn?code=180209,https://ssl.pstatic.net/imgmovie/mdi/mit110/1802/180209_P42_134851.jpg,5.90,"['남대중', '남대중|']","['2019', '2019']","['기방도령', '기방도령']",동명영화 없음
20183782,https://movie.naver.com/movie/bi/mi/basic.nhn?code=161967,https://ssl.pstatic.net/imgmovie/mdi/mit110/1619/161967_P80_151640.jpg,8.50,"['봉준호', '봉준호']","['2019', '2019']","['기생충', '기생충']",fit
20185986,https://movie.naver.com/movie/bi/mi/basic.nhn?code=174834,https://ssl.pstatic.net/imgmovie/mdi/mit110/1748/174834_P53_105510.jpg,7.37,"['고정욱', '고정욱']","['2019', '2018']","['진범', '진범']",fit
20191601,https://movie.naver.com/movie/bi/mi/basic.nhn?code=183783,https://ssl.pstatic.net/imgmovie/mdi/mit110/1837/183783_P16_105340.jpg,4.08,"['히라야마 미호', '히라야마 미호|']","['2019', '2019']","['극장판 엉덩이 탐정: 화려한 사건 수첩', '극장판 엉덩이 탐정: 화려한 사건 수첩']",동명영화 없음
20199951,https://movie.naver.com/movie/bi/mi/basic.nhn?code=183850,https://ssl.pstatic.net/imgmovie/mdi/mit110/1838/183850_P16_113434.jpg,6.74,"['게리 도버먼', '게리 도버먼|']","['2019', '2019']","['애나벨 집으로', '애나벨 집으로']",동명영화 없음
20196655,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181698,https://ssl.pstatic.net/imgmovie/mdi/mit110/1816/181698_P38_102749.jpg,8.27,"['채드 스타헬스키', '채드 스타헬스키|']","['2019', '2019']","['존 윅 3: 파라벨룸', '존 윅 3: 파라벨룸']",동명영화 없음
20192151,https://movie.naver.com/movie/bi/mi/basic.nhn?code=182014,https://ssl.pstatic.net/imgmovie/mdi/mit110/1820/182014_P09_102330.jpg,6.93,"['아리 애스터', '아리 에스터|']","['2019', '2019']","['미드소마', '미드소마']",동명영화 없음
20198453,https://movie.naver.com/movie/bi/mi/basic.nhn?code=179125,https://ssl.pstatic.net/imgmovie/mdi/mit110/1791/179125_P44_162751.jpg,7.64,"['강윤성', '강윤성|']","['2019', '2019']","['롱 리브 더 킹: 목포 영웅', '롱 리브 더 킹: 목포 영웅']",동명영화 없음
20190273,https://movie.naver.com/movie/bi/mi/basic.nhn?code=183836,https://ssl.pstatic.net/imgmovie/mdi/mit110/1838/183836_P33_161902.jpg,8.75,"['로버트 페르난데스', '로버트 페르난데스|']","['2019', '2019']","['천로역정: 천국을 찾아서', '천로역정: 천국을 찾아서']",동명영화 없음
20182585,https://movie.naver.com/movie/bi/mi/basic.nhn?code=179875,https://ssl.pstatic.net/imgmovie/mdi/mit110/1798/179875_P37_142918.jpg,5.57,"['이정호', '이정호']","['2019', '2019']","['비스트', '비스트']",fit
20192591,https://movie.naver.com/movie/bi/mi/basic.nhn?code=183666,https://ssl.pstatic.net/imgmovie/mdi/mit110/1836/183666_P01_135734.jpg,0.00,"['', '노영미|강소연|김태진|이민섭|이광재|']","['', '2019']","['BIFAN2019 판타스틱 단편 걸작선 1', 'BIFAN2019 판타스틱 단편 걸작선 1']",동명영화 없음
20192022,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167633,https://ssl.pstatic.net/imgmovie/mdi/mit110/1676/167633_P18_100754.jpg,6.92,"['닐 조단', '닐 조단|']","['2019', '2018']","['마담 싸이코', '마담 싸이코']",동명영화 없음
20196657,https://movie.naver.com/movie/bi/mi/basic.nhn?code=97631,https://ssl.pstatic.net/imgmovie/mdi/mit110/0976/97631_P49_094859.jpg,5.30,"['F. 게리 그레이', 'F. 게리 그레이|']","['2019', '2019']","['맨 인 블랙: 인터내셔널', '맨 인 블랙: 인터내셔널']",동명영화 없음
20190885,https://movie.naver.com/movie/bi/mi/basic.nhn?code=183820,https://ssl.pstatic.net/imgmovie/mdi/mit110/1838/183820_P08_141424.jpg,7.00,"['라스 클리브버그', '라스 클리브버그']","['2019', '2019']","['사탄의 인형', '사탄의 인형']",fit
20182387,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164125,https://ssl.pstatic.net/imgmovie/mdi/mit110/1641/164125_P65_143635.jpg,6.47,"['사이먼 킨버그', '사이먼 킨버그|']","['2019', '2019']","['엑스맨: 다크 피닉스', '엑스맨: 다크 피닉스']",동명영화 없음
20190466,https://movie.naver.com/movie/bi/mi/basic.nhn?code=137865,https://ssl.pstatic.net/imgmovie/mdi/mit110/1378/137865_P17_113027.jpg,8.89,"['미미 레더', '미미 레더|']","['2019', '2018']","['세상을 바꾼 변호인', '세상을 바꾼 변호인']",동명영화 없음
19880001,https://movie.naver.com/movie/bi/mi/basic.nhn?code=18781,https://ssl.pstatic.net/imgmovie/mdi/mit110/0187/18781_P40_110031.jpg,9.26,"['미야자키 하야오', '미야자키 하야오|']","['2001', '1988']","['이웃집 토토로', '이웃집 토토로']",동명영화 없음
20191401,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167053,https://ssl.pstatic.net/imgmovie/mdi/mit110/1670/167053_P13_111013.jpg,8.55,"['닐 버거', '닐 버거']","['2019', '2017']","['업사이드', '업사이드']",fit
20198291,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181704,https://ssl.pstatic.net/imgmovie/mdi/mit110/1817/181704_P35_105923.jpg,8.13,"['덱스터 플레처', '덱스터 플레처']","['2019', '2019']","['로켓맨', '로켓맨']",fit
20184889,https://movie.naver.com/movie/bi/mi/basic.nhn?code=136900,https://ssl.pstatic.net/imgmovie/mdi/mit110/1369/136900_P57_104126.jpg,9.39,"['안소니 루소', '안소니 루소|조 루소|']","['2019', '2019']","['어벤져스: 엔드게임', '어벤져스: 엔드게임']",동명영화 없음
20188941,https://movie.naver.com/movie/bi/mi/basic.nhn?code=177967,https://ssl.pstatic.net/imgmovie/mdi/mit110/1779/177967_P50_114447.jpg,7.93,"['이원태', '이원태']","['2019', '2019']","['악인전', '악인전']",fit
20184865,https://movie.naver.com/movie/bi/mi/basic.nhn?code=137327,https://ssl.pstatic.net/imgmovie/mdi/mit110/1373/137327_P17_171853.jpg,7.25,"['마이클 도허티', '마이클 도허티']","['2019', '2019']","['고질라: 킹 오브 몬스터', '고질라: 킹 오브 몬스터']",fit
20199063,https://movie.naver.com/movie/bi/mi/basic.nhn?code=183870,https://ssl.pstatic.net/imgmovie/mdi/mit110/1838/183870_P25_095540.jpg,8.05,"['신우', '신우|']","['2019', '2018']","['빅샤크2: 해저2만리', '빅샤크2: 해저2만리']",동명영화 없음
20188144,https://movie.naver.com/movie/bi/mi/basic.nhn?code=177371,https://ssl.pstatic.net/imgmovie/mdi/mit110/1773/177371_P20_114332.jpg,5.05,"['유선동', '유선동|']","['2019', '2018']","['0.0MHz', '0.0MHz']",동명영화 없음
20184082,https://movie.naver.com/movie/bi/mi/basic.nhn?code=174065,https://ssl.pstatic.net/imgmovie/mdi/mit110/1740/174065_P44_174038.jpg,5.67,"['정다원', '정다원']","['2019', '2018']","['걸캅스', '걸캅스']",fit
20199448,https://movie.naver.com/movie/bi/mi/basic.nhn?code=180169,https://ssl.pstatic.net/imgmovie/mdi/mit110/1801/180169_P64_101528.jpg,9.00,"['장규성', '장규성|']","['2019', '2019']","['어린 의뢰인', '어린 의뢰인']",동명영화 없음
20198597,https://movie.naver.com/movie/bi/mi/basic.nhn?code=183132,https://ssl.pstatic.net/imgmovie/mdi/mit110/1831/183132_P05_134901.jpg,9.28,"['이호경', '이호경']","['2019', '2019']","['교회오빠', '교회오빠']",fit
20199822,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181701,https://ssl.pstatic.net/imgmovie/mdi/mit110/1817/181701_P09_111143.jpg,4.95,"['데이빗 야로베스키', '데이비드 야로베스키']","['2019', '2019']","['더 보이', '더 보이']",fit
20187981,https://movie.naver.com/movie/bi/mi/basic.nhn?code=177483,https://ssl.pstatic.net/imgmovie/mdi/mit110/1774/177483_P122_133507.jpg,8.91,"['홍승완', '홍승완']","['2019', '2018']","['배심원들', '배심원들']",fit
20198598,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167657,https://ssl.pstatic.net/imgmovie/mdi/mit110/1676/167657_P03_163928.jpg,8.12,"['롭 레터맨', '롭 레터맨|']","['2019', '2019']","['명탐정 피카츄', '명탐정 피카츄']",동명영화 없음
20185784,https://movie.naver.com/movie/bi/mi/basic.nhn?code=175366,https://ssl.pstatic.net/imgmovie/mdi/mit110/1753/175366_P31_101140.jpg,8.90,"['육상효', '육상효|']","['2019', '2018']","['나의 특별한 형제', '나의 특별한 형제']",동명영화 없음
